news,name
"HYDERABAD (Reuters) -India's Apollo Hospitals Enterprise plans to double its investment in artificial intelligence capabilities over the next two to three years, its CEO said, after the company beat first-quarter profit estimates on higher patient volume.  The hospital chain already uses AI tools in diagnosis to read X-rays, scan reports and also in endoscopy - a medical procedure to examine the inside of the body using a camera, CEO Madhu Sasidhar told Reuters on Tuesday.",Apollo Hospitals Enterprise Ltd.
"The hospital operator will retain a 15% stake in the entity, which it is yet to be named, and will also have its nominee on the board of the new company.  Apollo Hospitals expects the new entity, which would also include pharmacy distributor Keimed, to clock revenue of about 250 billion rupees ($2.92 billion) for the year ending March 2027, and earnings before interest, taxes, depreciation and amortisation margin of roughly 7% for the same period.",Apollo Hospitals Enterprise Ltd.
"HYDERABAD (Reuters) -India's Apollo Hospitals Enterprise said its plan to add 4,300 beds over the next three to four years would underpin its revenue growth from fiscal 2026.  For fiscal 2027, the company expects higher revenue growth than the mid-teen increase projected for the preceding year as ""most of the beds are going to be coming through the year,"" Chief Financial Officer Krishnan Akhileswaran told Reuters.  The first phase of adding around 2,000 beds was in progress and would include setting up new hospitals as well as adding beds to existing ones, said the hospital chain, which has about 9,458 operational beds across the country.",Apollo Hospitals Enterprise Ltd.
"Jan 27 (Reuters) - Asian Paints reported a surprise profit drop on Tuesday, as a one-time charge tied to India's new labour laws that outweighed strong volumes growth in its mainstay decorative paint",Asian Paints Ltd.
"Jan 16 (Reuters) - India's Grasim Industries on Friday named Sachin Sahay as the new chief executive of its paints business, Birla Opus.",Asian Paints Ltd.
"Asian Paints Ltd (BOM:500820) reports robust volume growth and strategic innovations, despite industry headwinds and geopolitical uncertainties.",Asian Paints Ltd.
"(Reuters) -Asian Paints, India's largest paint-maker by market share, beat quarterly profit estimates on Wednesday, helped by higher-than-expected domestic volume growth in its mainstay decorative",Asian Paints Ltd.
(Reuters) -Akzo Nobel India's second-quarter adjusted profit fell on Thursday as weak retail demand and heavy monsoons dampened demand for its paints.,Asian Paints Ltd.
(Reuters) -Indian textiles-to-chemicals firm Grasim Industries' stock fell as much as 6.5% on Thursday - its steepest in more than three years - as the exit of its paints segment's chief stoked,Asian Paints Ltd.
"India's antitrust body said on Tuesday it has cleared JSW Paints' deal to acquire up to 75% stake in Dutch paint maker Akzo Nobel's Indian unit. The deal, which was announced in June, comes at a time when Indian paint makers are grappling with rising raw material costs and intensifying competition. Post completion, the JSW Paints-Akzo Nobel deal will help place the unit, which is part of the $23 billion JSW Group, to fourth place by market share in a sector dominated by Asian Paints, Berger Paints and Kansai Nerolac, according to a Geojit Financial Services analyst.",Asian Paints Ltd.
"NEW DELHI (Reuters) -An Indian court on Thursday dismissed a plea by Asian Paints to quash an ongoing antitrust inquiry against the company, six people familiar with the proceedings said.  The Competition Commission of India is investigating Asian Paints, which has a 52% market share, after officials found merit in a complaint filed by rival Birla Opus that the country's biggest paints maker had abused its dominant position by offering discounts and incentives to dealers.  Asian Paints sought to quash the inquiry in July by mounting a challenge at the High Court in Mumbai, arguing that CCI officials damaged its reputation by publishing – and then deleting – allegations against its CEO from the investigation order.",Asian Paints Ltd.
"(Reuters) -Benign domestic inflation and signs of growth in India's urban centers are expected to drive a demand recovery for Asian Paints, its top boss said, after the company met first-quarter profit expectations on Tuesday.  The country's largest paintmaker highlighted marginally improved demand from urban centres, which supported growth in its mainstay decorative paints segment.  Domestic inflation seems to be in control and some ""green shoots"" in urban areas suggest a revival of demand, CEO Amit Syngle said in a post-earnings call.",Asian Paints Ltd.
"NEW DELHI (Reuters) -India's biggest paints maker, Asian Paints, is seeking to quash an antitrust inquiry, arguing that officials damaged its reputation by publishing – and then deleting – allegations against its CEO from the investigation order, legal papers show.  The Competition Commission of India is investigating Asian Paints, which has a 52% market share, after officials found merit in a complaint filed by rival Birla Opus that Asian Paints had abused its dominant position by offering discounts and incentives to dealers.  In a court challenge, Asian Paints told Mumbai judges the CCI's July 1 order contained an allegation that its CEO warned raw material suppliers in a meeting that they would get less business from the company if they dealt with Birla.",Asian Paints Ltd.
"In India, Apple Pay is expected to support Unified Payments Interface (UPI) alongside card-based payments.",Axis Bank Ltd.
Move would expand Apple's payments footprint in one of the world's fastest-growing digital markets.,Axis Bank Ltd.
"The iPhone maker is in talks with ICICI Bank Ltd., HDFC Bank Ltd. and Axis Bank Ltd., as it aims to introduce its payment service in India around the middle of 2026, according to people with knowledge of the matter.  Apple is also discussing the plan with payment networks Mastercard Inc. and Visa Inc., said the people, who asked not to be named because the deliberations are private.",Axis Bank Ltd.
"Feb 26 (Reuters) - Apple is in talks with several Indian banks and global card networks as it prepares to launch its Apple Pay service in India, Bloomberg News reported on Thursday, citing people",Axis Bank Ltd.
"By Khushi Malhotra MUMBAI, Feb 12 (Reuters) - Torrent Power is preparing to raise 20 billion rupees ($220.54 million) via bonds in its largest fundraise from the markets, three merchant bankers told",Axis Bank Ltd.
By Vivek Kumar M Jan 27 (Reuters) - India's Axis Bank jumped nearly 6% on Tuesday and was on course for its biggest daily percentage rise in 15 months after the private lender reported a surprise rise,Axis Bank Ltd.
"Jan 27 (Reuters) - India's equity benchmarks opened lower on Tuesday, led by auto stocks after reports that a trade deal with the European Union could slash tariffs on car imports, while investors",Axis Bank Ltd.
"Axis Bank Ltd (STU:UZC) reports strong deposit growth, improved profitability, and strategic branch expansion amidst market challenges.",Axis Bank Ltd.
"Jan 26 (Reuters) - India's Axis Bank reported a surprise quarterly profit rise on Monday, supported by healthy loan growth.",Axis Bank Ltd.
"By Gopika Gopakumar, Vibhuti Sharma and Ashwin Manikandan MUMBAI, Jan 23 (Reuters) - India's Axis Bank has put on hold plans to sell a stake in its consumer lending arm, Axis Finance. after the",Axis Bank Ltd.
"Feb 6 (Reuters) - Indian tyre maker MRF said on Friday its third-quarter profit more than doubled from a year earlier, as lower tax boosted demand both from vehicle manufacturers as well as buyers",Bajaj Auto Ltd.
"Bajaj Auto Ltd (BOM:532977) achieves all-time high revenue and EBITDA, while navigating market pressures and expanding its electric vehicle portfolio.",Bajaj Auto Ltd.
"Feb 2 (Reuters) - Indian e-scooter manufacturer Ather Energy posted a narrower quarterly loss on Monday, helped by a jump in sales during the year-end festive period.",Bajaj Auto Ltd.
"Jan 30 (Reuters) - Indian automaker Bajaj Auto reported an 18.7% rise in third-quarter profit on Friday, boosted by stronger exports and higher domestic sales of its two-wheelers.",Bajaj Auto Ltd.
"(Reuters) -Indian tyre maker MRF reported a 12.3% rise in second-quarter profit on Friday, helped by demand for its tyres by original equipment manufacturers.",Bajaj Auto Ltd.
"(Reuters) -Indian automaker Bajaj Auto reported a 23.7% rise in second-quarter profit on Friday, boosted by higher exports of its motorcycles amid sluggish domestic demand.",Bajaj Auto Ltd.
"(Reuters) -India's Amara Raja Energy and Mobility reported a bigger-than-expected rise in second-quarter profit on Thursday, driven by increased demand from automotive manufacturers following India's",Bajaj Auto Ltd.
"(Corrects market share to about 0.5% from about 5% in paragraph 4 after company clarification) By Meenakshi Maidas and Yagnoseni Das (Reuters) -Simple Energy, an Indian electric two-wheeler",Bajaj Auto Ltd.
"China, which controls 90% of the global production of rare earths, banned its export in April, forcing automakers including Bajaj Auto and its peers to search for alternatives amid a scramble for supplies.  India's festival season, which begins from late August in some parts and is stretches into October, is considered an auspicious time for big-ticket purchases like vehicles.",Bajaj Auto Ltd.
"(Reuters) -Bajaj Auto will not meet its electric vehicles delivery target in the second-quarter as the Indian automaker grapples with a shortage of rare earth magnets, a senior executive said on Wednesday.  ""At this point in time, it looks like we might be able to deliver about 50%-60% of our (electric) two-wheeler plan for this quarter and about 70%-80% of the (electric) three-wheeler plan,"" Bajaj Auto's chief financial officer Dinesh Thapar told reporters in a post-earnings call.  The automaker is working on a host of alternatives to soften the production blow, including using motors made with more abundant light rare earths, rather than heavy rare earths, he said.",Bajaj Auto Ltd.
"Bharti Airtel will invest 200 billion rupees ($2.2 billion) in its financial ‌arm over the next few years, ‌India's second-largest mobile carrier by number of users said ​on Monday, as it steps up its push into digital lending.  The capital will be infused into its subsidiary, Airtel Money, which received a ‌non-banking financial company (NBFC) ⁠license from the Reserve Bank of India on February 13.  Airtel's expansion comes ⁠as competition intensifies in India’s non-bank lending sector, where conglomerates such as Jio Financial Services ​and established ​players like Bajaj ​Finance are scaling up ‌retail credit operations.",Bajaj Finance Ltd.
"Bajaj Finserv Ltd (BOM:532978) reports a 24% increase in consolidated total income, with significant gains in insurance and finance sectors despite facing regulatory impacts.",Bajaj Finance Ltd.
"Bajaj Finance Ltd (BOM:500034) reports robust growth in core profit and AUM, while navigating strategic challenges and exceptional charges.",Bajaj Finance Ltd.
"Feb 3 (Reuters) - India's Bajaj Finance posted a lower quarterly profit on Tuesday, hurt by a jump in loan loss provisions.",Bajaj Finance Ltd.
"Indian stocks jumped after President Trump agreed to slash tariffs on the country. The U.S. is lowering levies on Indian goods to 18% after the two nations struck a trade pact and Trump said New Delhi, led by Prime Minister Narendra Modi, agreed to stop buying Russian oil.",Bajaj Finance Ltd.
"Bajaj Finserv Ltd (BOM:532978) reports robust financial performance with significant growth in income and profits, despite facing some operational challenges.",Bajaj Finance Ltd.
"(Reuters) -Shares of India's Bajaj Finance tumbled 7.5% on Tuesday after the non-bank lender cut its asset growth forecast for fiscal 2026, stoking concerns over its near-term expansion prospects.",Bajaj Finance Ltd.
"Bajaj Finance Ltd (BOM:500034) reports a 24% increase in assets under management and a record festive season, despite challenges in MSME growth and asset quality.",Bajaj Finance Ltd.
"By Nishit Navin (Reuters) -India's Bajaj Finance on Monday trimmed its growth forecast for asset under management (AUM) for the 2025–26 financial year, citing rising bad loans in its micro, small and",Bajaj Finance Ltd.
"(Reuters) -India's Tata Capital reported a rise in second-quarter profit on Tuesday, in its first earnings since going public, led by steady loan growth.",Bajaj Finance Ltd.
"Bajaj Finserv Ltd (BOM:532978) reports a 24% increase in consolidated total income, with significant gains in insurance and finance sectors despite facing regulatory impacts.",Bajaj Finserv Ltd.
"Jan 16 (Reuters) - Bajaj Finserv on Friday bought Germany's Allianz SE's remaining 50% stake in Bajaj Financial Distributors (BFDL), ending their joint venture and taking full ownership of the",Bajaj Finserv Ltd.
"Allianz will divest its remaining 3% interest by the end of July 2026, either through a buyback process or by other means.",Bajaj Finserv Ltd.
"Jan 8 (Reuters) - India's Bajaj Group has acquired a 23% stake in its insurance subsidiaries from Allianz SE for 213.90 billion rupees ($2.38 billion), group firm Bajaj Finserv said on Thursday.",Bajaj Finserv Ltd.
"Bajaj Finserv Ltd (BOM:532978) reports robust financial performance with significant growth in income and profits, despite facing some operational challenges.",Bajaj Finserv Ltd.
The development follows the acquisition of Allianz's 26% stake in the JVs.,Bajaj Finserv Ltd.
"LONDON (Reuters) -Indian financial services group Bajaj Finserv has increased its customer target to 250 million in the next four years, chairman and managing director Sanjiv Bajaj told Reuters, betting on strong growth in the South Asian economy.  Bajaj Finserv, one of India’s biggest non-bank financial firms, in December set a target of 200 million customers by 2029, but has been winning business more quickly than expected.  The largest company in the century-old Bajaj Group, Bajaj Finserv has about 92 million active customers in India across divisions including lending, asset management and insurance.",Bajaj Finserv Ltd.
"The firms, which include Jamnalal Sons and Bajaj Holdings and Investment, will sell the 25.3 million shares they own in the secondary market at a floor price of 1,880 rupees per share, the report said.  The reported floor price is at a discount to Bajaj's closing price of 1,944 rupees on Thursday.  Bajaj Finserv's founding firms have an option to sell another 5.7 million shares, or a 0.36% stake they own in Bajaj Finserv, according to the report.",Bajaj Finserv Ltd.
Bajaj Finserv Ltd (BOM:532978) reports robust income growth despite facing hurdles in its insurance segments.,Bajaj Finserv Ltd.
"Upon completion, Bajaj Finserv's holding in each company will increase to 75.01%.",Bajaj Finserv Ltd.
"Astra Microwave Products Ltd (BOM:532493) achieves its best-ever quarterly performance, bolstered by a robust order book and strategic collaborations, despite facing execution challenges.",Bharat Electronics Ltd.
"Bharat Electronics Ltd (BOM:500049) reports a robust 19% revenue increase and a solid order book, despite challenges in supply chain and project execution.",Bharat Electronics Ltd.
"NEW DELHI (Reuters) -India's Bharat Electronics Limited and France's Safran Electronics and Defence have signed an agreement to produce HAMMER smart precision-guided air-to-ground weapons in India,",Bharat Electronics Ltd.
"The consortium, comprising local space tech firms Piersight Space, Satsure Analytics India and Dhruva Space, will design, build, and operate the satellites, the Indian National Space Promotion and Authorisation Centre (IN-SPACe) said. The PixxelSpace-led consortium won the project, outbidding Indian defence equipment makers Astra Microwave and Bharat Electronics. The Indian government wants to reduce its dependence on foreign systems, including the widely used U.S. Global Positioning System (GPS), and says its regional navigation satellite system, called NavIC (Navigation with Indian Constellation), provides more accurate domestic navigation and that its use would benefit the economy.",Bharat Electronics Ltd.
"Bharat Electronics Ltd (BOM:500049) reports robust financial performance with significant increases in revenue, profits, and a solid order pipeline.",Bharat Electronics Ltd.
"A coalition of telecom operators and device makers is pushing $40 smartphones to bring up to 20 million people online, but rising component costs threaten the plan.",Bharti Airtel Ltd.
An aim of the wide consortium - among its many objectives - is to address future connected mobility in vehicles.,Bharti Airtel Ltd.
"Zscaler (NasdaqGS:ZS) has partnered with Bharti Airtel to launch a national AI & Cyber Threat Research Center in India. The new center focuses on AI driven security research, cyber threat analysis, and talent development for India’s digital economy. The initiative is paired with an expansion of Zscaler’s AI based security offerings and recent platform updates. For investors watching Zscaler at a share price of $148.58, this move adds an operational angle to a stock that has seen mixed...",Bharti Airtel Ltd.
"Zscaler (NasdaqGS:ZS) has launched an AI & Cyber Threat Research Center in partnership with Bharti Airtel. The center is focused on strengthening India's national cyber resilience and supporting trusted AI adoption. This marks a material expansion initiative for Zscaler outside of its regular quarterly earnings and guidance updates. Zscaler is known for its cloud based security platform, which sits at the center of the shift to zero trust and secure access for distributed users and...",Bharti Airtel Ltd.
"Zscaler (NasdaqGS:ZS) has launched an AI & Cyber Threat Research Center in India in partnership with Bharti Airtel. The new center focuses on cybersecurity research, trusted AI use cases, and developing local AI and security talent. The collaboration is aimed at supporting India's national cyber resilience and expanding Zscaler's presence in a key market. Zscaler, known for its cloud delivered security platform, is expanding its on the ground footprint in India through this new research...",Bharti Airtel Ltd.
"On 20 February 2026, Bharti Airtel and Zscaler announced the launch of the AI & Cyber Threat Research Center – India, a multi-stakeholder initiative focused on strengthening cyber resilience and trusted AI adoption across critical national sectors. The center deepens Zscaler’s India footprint by combining its global threat intelligence with Airtel’s local network visibility to build an “In India, For India” research and talent hub for AI-driven cybersecurity. We’ll now examine how this...",Bharti Airtel Ltd.
"Zscaler (NasdaqGS:ZS) and Bharti Airtel announced a partnership to launch India's AI & Cyber Threat Research Center. The new center is focused on cyber resilience, trusted AI adoption, and cybersecurity skills development in India. The collaboration combines Zscaler's global security cloud expertise with Airtel's presence in the Indian market. Zscaler, listed on NasdaqGS:ZS, focuses on cloud based security that helps organizations secure users, workloads, and data as they move to cloud and...",Bharti Airtel Ltd.
"Bharti Airtel will invest 200 billion rupees ($2.2 billion) in its financial ‌arm over the next few years, ‌India's second-largest mobile carrier by number of users said ​on Monday, as it steps up its push into digital lending.  The capital will be infused into its subsidiary, Airtel Money, which received a ‌non-banking financial company (NBFC) ⁠license from the Reserve Bank of India on February 13.  Airtel's expansion comes ⁠as competition intensifies in India’s non-bank lending sector, where conglomerates such as Jio Financial Services ​and established ​players like Bajaj ​Finance are scaling up ‌retail credit operations.",Bharti Airtel Ltd.
"Bharti Airtel Ltd (BOM:532454) reports robust financial performance with strategic investments, despite facing hurdles in wireless revenue growth.",Bharti Airtel Ltd.
"Feb 5 (Reuters) - Bharti Airtel, India’s second-largest mobile carrier by number of users, posted its seventh straight quarterly profit rise on Thursday, as subscribers upgraded to higher-margin",Bharti Airtel Ltd.
"Jan 28 () - India's Gland Pharma reported a nearly 28% jump in third-quarter profit on Wednesday, boosted by strong ​sales in the key European and U. The Hyderabad-based company ‌reported a consolidated net profit of 2.",Cipla Ltd.
Cipla Ltd (BOM:500087) reports robust growth in key segments despite facing margin pressures and supply disruptions.,Cipla Ltd.
"Jan 23 (Reuters) - Cipla, India's third-largest drugmaker by revenue, reported a steeper-than-expected 57% fall in quarterly profit on Friday, dragged down by a production halt at one of its exclusive",Cipla Ltd.
"(Reuters) -Indian drugmaker Lupin posted a 73.3% jump in second-quarter profit on Thursday, driven by strong demand for its respiratory drugs.",Cipla Ltd.
"(Reuters) -Indian drugmaker Alembic Pharmaceuticals posted a 20.4% rise in second-quarter profit on Tuesday, aided by strong demand for its generic drugs as well as new launches in its key U.S. market",Cipla Ltd.
"(Reuters) -India's Gland Pharma reported a 12% rise in second-quarter profit on Monday, as recovery at its European unit Cenexi bolstered margins.",Cipla Ltd.
"By Rishika Sadam and Kashish Tandon (Reuters) -Cipla's global chief executive and managing director, Umang Vohra, will step down at the end of March after almost a decade in the top role, the Indian",Cipla Ltd.
"(Reuters) -Eli Lilly signed an agreement with Cipla, allowing the Indian drugmaker to sell its blockbuster weight-loss drug under a separate brand in the country, the companies said on Thursday.",Cipla Ltd.
"Gilead's settlement on Biktarvy patents delays generic entry until 2036, boosting investor confidence.",Cipla Ltd.
Gilead stock popped Monday after the biotech giant said it signed deals with three generic drugmakers to delay their Biktarvy copycats.,Cipla Ltd.
"Feb 12 (Reuters) - State-run Coal India, which accounts for roughly three‑quarters of the nation's coal output, reported a drop in quarterly profit on Thursday as production softened amid subdued",Coal India Ltd.
"NEW DELHI, Feb 6 (Reuters) - India's National Stock Exchange (NSE) on Friday approved the creation of a unit to run a proposed national coal trading exchange.",Coal India Ltd.
"(Corrects to fix syntax in first paragraph, add Reuters in dateline) BENGALURU, Jan 19 (Reuters) - Shares of Bharat Coking Coal, India's top coking coal miner, nearly doubled in their market debut on",Coal India Ltd.
"By Hritam Mukherjee and Neha Arora BENGALURU/NEW DELHI, Jan 15 (Reuters) - Coal India is scouting partnership opportunities in rare-earth mining across Australia, Russia, Argentina, Chile and several",Coal India Ltd.
"By Vivek Kumar M Jan 13 (Reuters) - Bharat Coking Coal drew bids worth 1.17 trillion rupees ($12.97 billion) for its $118.7 million initial public offering on Tuesday, as prospects of strong demand",Coal India Ltd.
"By Hritam Mukherjee and Urvi Dugar Jan 9 (Reuters) - The IPO of India's largest coking coal miner was oversubscribed on the first day of bidding on Friday, as investors lined up for the first main",Coal India Ltd.
"By Hritam Mukherjee and Sethuraman N R Jan 2 (Reuters) - State-run miner Coal India on Friday opened up its e-auctions to foreign buyers from neighbours Bangladesh, Bhutan and Nepal amid a decline in",Coal India Ltd.
"NEW DELHI, Dec 12 (Reuters) - India's cabinet on Friday permitted the export of coal as the country's power plants have a surplus, information minister Ashwini Vaishnaw said.",Coal India Ltd.
"SINGAPORE (Reuters) -State-run mining group Coal India has issued tenders to build 3 gigawatts of solar and 2 GW of wind power plants, its most significant move yet to diversify revenue sources amid a decline in output this year due to tepid demand.  The company currently has an installed solar capacity of about 0.2 GW, and plans to increase that to 3 GW by 2028 and 9.5 GW by 2030.  Production by Coal India, which accounts for about three-quarters of the country's coal output, fell 3.5% during the first five months of this fiscal year ending March 2026.",Coal India Ltd.
"NEW DELHI (Reuters) -India's National Aluminium Company (NALCO) will invest a total of 300 billion rupees ($3.43 billion) in a new smelter and a coal power plant over the next five years, Chairman and Managing Director Brijendra Pratap Singh said on Thursday.  The state-run aluminium producer will budget roughly 180 billion rupees to set up the proposed smelter in the eastern Indian state of Odisha, Singh told reporters in New Delhi.  The remaining 120 billion rupees will be used to set up a coal power plant, for which it is in talks with Coal India and NTPC, Singh said.",Coal India Ltd.
Esperion Therapeutics' Q4 revenues surge 144% to $168.4M but EPS of 22 cents misses estimates. Shares fall as mixed results weigh on sentiment.,Dr. Reddy's Laboratories Ltd.
"TEVA, Sandoz and Dr. Reddy's are shifting toward complex generics and biosimilars to counter pricing pressure and strengthen margins in the competitive generics market.",Dr. Reddy's Laboratories Ltd.
"Generic drugmakers face pricing pressure, but companies like TEVA, SDZNY and RDY are betting on complex generics and biosimilars to protect growth.",Dr. Reddy's Laboratories Ltd.
"Asian equities traded in the US as American depositary receipts were trending lower Tuesday morning,",Dr. Reddy's Laboratories Ltd.
"Coya Therapeutics (COYA) announced that it has entered into a definitive securities purchase agreement for the purchase and sale of an aggregate of 2.522M shares of its common stock in a private placement at a price of $4.40 per share. The offering is expected to close on or about January 30, subject to the satisfaction of customary closing conditions. The investors in the offering are Dr. Reddy’s (RDY), $10M, and Greenlight Capital, an existing institutional stockholder of the company. The gros",Dr. Reddy's Laboratories Ltd.
"Jan 28 () - India's Gland Pharma reported a nearly 28% jump in third-quarter profit on Wednesday, boosted by strong ​sales in the key European and U. The Hyderabad-based company ‌reported a consolidated net profit of 2.",Dr. Reddy's Laboratories Ltd.
"Dr Reddy's Laboratories Ltd (RDY) reports steady revenue growth driven by emerging markets and strategic collaborations, despite facing pricing pressures and regulatory hurdles.",Dr. Reddy's Laboratories Ltd.
"RDY posts flat Q3 earnings, while revenues miss estimates as global generics growth lagged, pressured by weaker North America sales.",Dr. Reddy's Laboratories Ltd.
"Health care stocks rose late Wednesday afternoon, with the NYSE Health Care Index up 1.5% and the St",Dr. Reddy's Laboratories Ltd.
"Health care stocks rose Wednesday afternoon, with the NYSE Health Care Index up 1% and the State Str",Dr. Reddy's Laboratories Ltd.
"Eicher Motors Ltd (BOM:505200) reports a 23% revenue increase and unveils capacity expansion to meet rising demand, despite challenges in international sales and commodity prices.",Eicher Motors Ltd.
"By Bharath Rajeswaran and Vivek Kumar M BENGALURU, Feb 11 (Reuters) - Indian benchmark indexes ended little changed on Wednesday after a three-session rising streak, while robust earnings propped up",Eicher Motors Ltd.
Feb 11 (Reuters) - Shares of Eicher Motors rose nearly 7% to a record high on Wednesday after the Indian automaker announced plans to boost capacity and forecast that its Royal Enfield motorcycles,Eicher Motors Ltd.
"(Corrects investment amount in paragraph 8 to 9.58 billion rupees, from 9.68 billion rupees) Feb 10 (Reuters) - Indian automaker Eicher Motors reported a bigger-than-expected quarterly profit on",Eicher Motors Ltd.
"Eicher Motors Ltd (BOM:505200) reports a 45% revenue surge, maintaining market dominance despite rising expenses and market challenges.",Eicher Motors Ltd.
